,spotify_id,youtube_id,project_name,artist,project_type,tracks,project_art,year,rating
84,5qyGtkaN9N50H0YnK1zDza,N7LyYAx3bpU,my father will guide me up a rope to the sky,swans,album,8.0,https://i.scdn.co/image/ab67616d000048512fc872fc8feb2c9554b4c135,2010.0,6.0
85,5UYmZOpjjA5Y7GyZhjI6fy,Ec4Vw1ERk8o,big echo,the morning benders,album,10.0,https://i.scdn.co/image/ab67616d00004851cc7cb5839c8db7e76856b299,2010.0,6.0
86,4xhDigdM3tvzdiNNdtP6Gp,jd8olhovn6w,fool's day,blur,album,11.0,https://i.scdn.co/image/ab67616d00004851f2c9e5c7a8853cd202bbac09,2022.0,8.0
87,4U9WLOC31iDcQ4gg5yUUEp,D12g4LXpXsI,the monitor,titus andronicus,album,10.0,https://i.scdn.co/image/ab67616d000048512723394a488ebe75cf394f39,2010.0,7.0
88,3URWHvduHqKfb2l7kXIdoN,rzj_j93PWdw,black city,matthew dear,album,11.0,https://i.scdn.co/image/ab67616d00004851839907b6d1ff9b0f1857b158,2010.0,7.0
89,5QaEJj1wEqIePsjVtMzReu,v_7WlMvv50I,sea of cowards,the dead weather,album,11.0,https://i.scdn.co/image/ab67616d0000485144fa41b48b461daa475d0d05,2010.0,5.0
90,1PPXfny6bTg4AwboeIBT5h,Gcxdgfr9gpw,love remains,how to dress well,album,14.0,https://i.scdn.co/image/ab67616d000048516f648fd81e495c74c94fcb2e,2010.0,4.0
91,6Z0GV47fGK4hcnzklj80OX,9J9VqG7mBxE,play it strange,the fresh & onlys,album,11.0,https://i.scdn.co/image/ab67616d00004851929e573c318898f0b3788474,2010.0,4.0
92,5xB1vlldYNgaPU9HGBmr4x,Lfw6vPZAUtc,together,the new pornographers,album,12.0,https://i.scdn.co/image/ab67616d000048510976ca8ec8295a1c8ce11b2d,2010.0,7.0
93,0M43d6s6l1b5x6SALQSrP0,JsQHABGsCUQ,circle the wagons,darkthrone,album,9.0,https://i.scdn.co/image/ab67616d00004851921c5061393602d848aa3365,2010.0,5.0
94,16IUCg94zmGIgEz09v003g,Q2nYEWeAR-s,expo 86,wolf parade,album,11.0,https://i.scdn.co/image/ab67616d000048515870503dccf87162ea69d455,2010.0,6.0
95,5kTf7CvY6ttD513eCfqKPy,fNVNPtj1IsM,crush,abe vigoda,album,10.0,https://i.scdn.co/image/ab67616d0000485149582a94444f7e644365f0c7,2010.0,4.0
96,7u0rkDs998iVAFdhhnorTe,gHJrGGBcP0E,self-titled,daughters,album,8.0,https://i.scdn.co/image/ab67616d00004851166d9af2e185f29eaf6ed550,2010.0,8.0
97,19cAWBNXr4GVOFM3VamI9J,du-Szi7pGRE,urgency,superhumanoids,album,5.0,https://i.scdn.co/image/ab67616d00004851bad521756f9adbbf8172c634,2010.0,8.0
98,3luRdv37JrEEOUYw8s9pA4,S8HRhbucYiw,cerulean,baths,album,12.0,https://i.scdn.co/image/ab67616d0000485193f869e538fea501a6a9d5aa,2010.0,8.0
99,47e7SP8MtzYKK8Lm3gEK2i,RkumjdJ-Eew,small craft on a milk sea,brian eno,album,15.0,https://i.scdn.co/image/ab67616d00004851b6dd5b760aa653f737d6252e,2010.0,8.0
100,2dzt3Y2SwHsPNMbk8zXNP3,3vl5QXJolYU,"""round and round""",ariel pink's haunted graffiti,album,2.0,https://i.scdn.co/image/ab67616d00004851562b9e1d800bd1926d38ed9e,2010.0,9.0
101,1CE756aUxgOD7Y7wvvqTWK,jNBYi07Q7GQ,penny sparkle,blonde redhead,album,10.0,https://i.scdn.co/image/ab67616d0000485147cddb12395d8d976d9ef40e,2010.0,8.0
102,4ak54Q9kwqnyRL6yLkbFBO,ABAea7gFO5I,homeland,laurie anderson,album,12.0,https://i.scdn.co/image/ab67616d000048516c101467832e76c1be95f59c,2010.0,8.0
103,43goi7G5yXOoI7bLaowtpy,szIb95UJ2YY,discoverer,r.e.m.,track,12.0,https://i.scdn.co/image/ab67616d0000485138a3f8c5af1cde7607477480,2001.0,6.0
104,67jSVxuCF5y7rPizT4mLP7,ty0id9qHcq8,ring,glasser,album,9.0,https://i.scdn.co/image/ab67616d00004851fdbcb0ae8e414da41fb4226b,2010.0,8.0
105,1dxMK0PJZ9RyarNPXQQeeP,TvPFu80ZVz0,tomboy / slow motion,panda bear,track,11.0,https://i.scdn.co/image/ab67616d00004851c500560412835b729ced7fef,2011.0,6.0
106,3hxVFxpF7uUtjLHzvGIm7W,0DryZn9n6po,gemini,wild nothing,album,12.0,https://i.scdn.co/image/ab67616d000048516da7c8855ee1e48bb4d29184,2010.0,7.0
